t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,8276,8276,11,10,0
5.002,18924,19340,43,10,0
10.004,19756,19916,43,9,0
15.006,19008,20404,43,9,0
20.007,19776,20404,43,9,0
25.008,19588,20404,43,9,0
30.010,19468,20844,43,9,0
35.011,19672,20844,43,9,0
40.012,19764,20844,43,9,0
45.014,20188,20844,43,9,0
50.016,19880,20844,43,9,0
55.017,19680,20956,43,9,0
60.019,18732,20956,39,9,0
65.020,20224,20956,43,9,0
70.022,20204,20956,43,9,0
75.023,19948,20956,43,9,0
80.025,20116,20956,43,9,0
85.026,19980,20956,43,9,0
90.027,20592,20956,43,9,0
95.029,19996,20956,43,9,0
100.030,19912,20956,42,9,0
105.031,19868,20956,43,9,0
110.033,19876,20956,43,9,0
115.034,20376,20956,43,9,0
120.036,19160,20956,43,9,0
125.037,19716,21036,43,9,0
130.040,20584,21036,43,9,0
135.041,20744,21036,43,9,0
140.043,20292,21036,43,9,0
145.045,20176,21036,43,9,0
150.046,20312,21036,43,9,0
155.047,20700,21036,43,9,0
160.049,20168,21036,43,9,0
165.051,20288,21048,43,9,0
170.052,19996,21048,43,9,0
175.055,20236,21048,43,9,0
180.057,19224,21048,43,9,0
185.059,21076,21416,43,9,0
190.061,20820,22024,43,9,0
195.062,21292,22024,43,9,0
200.064,20952,22024,43,9,0
205.065,20700,22024,43,9,0
210.066,20776,22024,43,9,0
215.068,21088,22024,43,9,0
220.069,21584,22024,43,9,0
225.070,20708,22024,43,9,0
230.071,21076,22024,43,9,0
235.072,21012,22024,43,9,0
240.073,19432,22024,43,9,0
245.074,21080,22024,42,9,0
250.075,20840,22024,43,9,0
255.076,20828,22024,43,9,0
260.077,21368,22024,43,9,0
265.078,21080,22024,41,9,0
270.079,21028,22024,43,9,0
275.080,21604,22024,43,9,0
280.082,20784,22024,43,9,0
285.083,20724,22024,42,9,0
290.084,20696,22024,43,9,0
295.085,20828,22024,43,9,0
300.086,20220,22024,42,9,0
305.088,21340,22044,43,9,0
310.089,21964,22044,43,9,0
315.091,21004,22104,43,9,0
320.093,21924,22104,43,9,0
325.095,21588,22492,42,9,0
330.096,20916,22492,43,9,0
335.097,20504,22492,43,9,0
340.098,21216,22492,43,9,0
345.100,20448,22492,43,9,0
350.101,21120,22492,43,9,0
355.102,21136,22492,42,9,0
360.001,21844,22492,40,9,0
